"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF1","WSF1"
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","1960-01","0.0","13","1","-11.7","76","64.0","41.1","11.1","1949.8","77.1","124","-2.2","1.0","-5.4",,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","1960-02","0.0","9","3","-11.1","152","132.0","14.7","9.4","2555.7","57.6","288","-2.6","1.1","-6.2",,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","1960-03","0.0","22","2","-13.9","152","71.0","7.1","21.1","3214.6","19.4","194","-2.9","1.8","-7.6",,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","1960-04","7.5","0","0","-4.4","0","10.0","9.9","29.4","3467.6","38.2","18","10.1","15.9","4.4",,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","1960-05","18.6","0","0","0.6","0","13.0","9.4","28.3","3592.0","50.2","13","14.7","20.2","9.2",,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","1960-06","77.7","0","0","8.3","0","0.0","34.3","32.2","3613.1","138.8","0","19.6","25.6","13.6",,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","1960-07","182.4","0","0","10.6","0","0.0","20.8","32.2","2.0","83.0","0","21.6","28.0","15.3",,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","1960-08","299.4","0","0","12.8","0","0.0","19.3","31.1","2.0","61.7","0","22.1","28.1","16.1",,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","1960-09","362.1","0","0","5.0","0","0.0","22.1","34.4","30.6","31.8","0","19.5","25.4","13.5",,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","1960-10","363.8","0","0","-3.3","0","0.0","26.7","26.7","233.9","62.2","0","11.8","17.5","6.1",,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","1960-11","363.8","0","0","-5.0","0","10.0","6.4","18.3","609.1","25.7","25","5.8","10.2","1.5",,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","1960-12","363.8","7","1","-23.9","102","81.0","6.6","12.2","1319.1","12.6","108","-4.6","-0.2","-8.9",,
